,label1,label2,text
0,5,4,I want to travel back to my native place. my aunt is feeling uneasiness since morning. This can be a symptom of corona. Send check up team immediately.
1,5,0,Want curfew pass for case of emergency travel. An elderly man in our locality was tested positive for coronavirus long back has recovered and since then everybody is hateful of the entire family and even the shopkeepers harass them by refusing to sell items to them. 
2,5,3,Firstline workers facing issues as no cabs are available The constant burning diya lamp in the temple needs oil to continue otherwise it will bring havoc on humanity.
3,5,0,Want to go back to my family place. Currently staying in the hotel. These days students are learning to bully from school itself.
4,5,3,Want to travel from bangalore to delhi. Any means of transport available? there are drums of flammable oil stored in our locality. Is it possible to store them elsewhere
5,5,1,Residing in green zone but not able to get travel permssion even for getting essential household items. Tower in my area has sparking issues.
6,5,5,Few days back my vehicle was seized by police now don't have any means of transport. Want curfew pass for case of emergency travel.
7,5,1,My visa about to get expire. Want some travel arrangements to be done to fly back to Austria. There has been transformer fault in our area and none of our devices are working and all our phones are discharged and we are not able to contact anyone to request for repair for many days now.
8,5,4,Five construction workers started walking from kerela to bihar but are stranded in karnataka border. I was travelling from karnataka to tamil nadu and met with an accident. My bike is broken and I need medical assistance for my fractured leg.
9,5,3,I live in pg where its difficult to get food. When are flights and trains getting started. Please provide coal for burning of stove.
10,5,3,You are giving permission to celebrities like Rishi kapoors daughter to travel while normal people are not getting passes within the city.  If you fuel your journey on the opinion of others you are going to run out of gas.
11,5,1,I cancelled my advance booking on irctc website but refund is not initiated yet. Due to frequent power cuts i am not able to watch tv or radio. 
12,5,5,Due to lack in any means of transport horse cart owner is charging very high prices. Please give update when daily buses will resume. Firstline workers facing issues as no cabs are available
13,5,4,The temporary bridge is broken due to heavy flow of river water so we are not able to go to cities. I am running out of my insulin injections.
14,5,3,Daily a truck of refugees breaks into the city via the south highway road. Travel ban should be imposed on the trucks too. Too frequent power cuts in our locality. Need supply of kerosine oil to run the generator
15,5,3,I want to drive to my home town to attend a funeral and need paas. send me back. Please provide coal for burning of stove.
16,5,3,I came to Bangalore to work and have been stuck here for so long due to the lockdown I need to get to my elderly parents who are in a small town in Maharashtra which is declared a red zone.  Please provide coal for burning of stove.
17,5,2,My son went to Delhi to prepare for competitive exams and now he is stuck there with some friends as their institution has closed down and he is unable to return.  5 kg Rice 10 kg Wheat 20 L Oil needed
18,5,1,Me and family stranded on roadside on the way to mysore. Car is not working. 5 people trapped with no internet in my locality
19,2,1,I need daily rations in Attur no connectivity in wifi router due to some wiring problem.
20,2,3,provide rations for 6 people for 10 days Too frequent power cuts in our locality. Need supply of kerosine oil to run the generator
21,2,4,Need prepared food for 20 people in slum accident in the area and arm broken need to go to hospital
22,2,5,Need groceries for a family in quarantine Due to lack in any means of transport horse cart owner is charging very high prices. Please give update when daily buses will resume.
23,2,1,my sugar eggs and milk are over. I have small chidren.  calls are not connecting from airtel
24,2,1,Need food packets for 20 people Why governement is not spending money to improve the communication services in India?
25,2,5,I want bread and rice for my home Want curfew pass for case of emergency travel.
26,2,4,Five construction workers started walking from kerela to bihar but are stranded in karnataka border. Get them food and help them go to their home. I am running out of my insulin injections.
27,2,4,The temporary bridge is broken due to heavy flow of river water so we are not able to go to cities to buy groceries and medicines. Help us. I am hungry from last three days. My glucose level is very low and bp is very high. Need help urgently.
28,2,4,I cannot cook food at my home as I do not have groceries and cooking oil. I need to take my father to hospital for dialysis.
29,2,4,Dry ration provided is of bad quality. People are getting sick after consuming them. Two people suffering from fever and cold
30,2,0,5 kg Rice 10 kg Wheat 20 L Oil needed Due to lack in any means of transport horse cart owner is charging very high prices.
31,2,2,People are starving due to COVID19 crises. I cannot cook food at my home as I do not have groceries and cooking oil.
32,2,1,My maid complaint that she has money but was unable to buy groceries as nearby shops are closed and police is not allowing them to go to far places. Please make sure essential services are working properly and Help my maid.Her No. is 7625472689 calls are not connecting from airtel
33,2,4,No one is taking care of roadside animals. They are starving.Plase do something to help them instantly I need to take my father to hospital for dialysis.
34,2,0,As my young daughter is still a toddler I need some cereals or Cerelac and milk urgently. I feel that someone is going to break in and kill me.
35,2,4,Even though the local auhtorities have arranged for raw vegetables for us to have please provide us with oil and spices to cook them which we have been asking for so long. I was travelling from karnataka to tamil nadu and met with an accident. My bike is broken and I need medical assistance for my fractured leg.
36,2,1,I am unable to find fruits or vegetables network coverage is weak in my house
37,2,2,Where can I get bread and butter. Internet facility provided at railway station is so bad that i am not even able to buy groceries online.
38,2,4,Edible supplies are not available in my area i need bread and groceries My wife is a construction worker and since we don't have enough meals now due to shortage of money she is weak and unable to get up
39,2,1,We are 6 people in my family and we are out of food. Anything you can give please do Telecom companies have raised the prices of net pack so much that they are not affordable.
40,2,2,I need food supplies for my family. Require lunch dinner meals everyday.  I need daily rations in Attur
41,2,2,I am starving and hence require daily meals. please supply meals for me. As my young daughter is still a toddler I need some cereals or Cerelac and milk urgently.
42,2,1,Internet facility provided at railway station is so bad that i am not even able to buy groceries online. network coverage is weak in my house
43,1,0,5 people trapped with no internet in my locality Due to lack in any means of transport horse cart owner is charging very high prices.
44,1,2,requesting mobile recharge for 2 phones I need daily rations in Attur
45,1,2,network coverage is weak in my house I cannot cook food at my home as I do not have groceries and cooking oil.
46,1,2,no connectivity in wifi router due to some wiring problem. Need food packets for 20 people
