query,communication,food,healthcare,others,travel
Labourers without food,0,100,0,0.800000012,0
Migrant Workers from UP and BIHAR,0,0.600000024,48.90000153,0.100000001,99.09999847
People need cooked food,0.300000012,100,0.200000003,64.69999695,0
people stuck in bangalore,98.09999847,0,0,100,0
People Stuck without Food,14.60000038,100,0,8.600000381,0
People without ration,0,100,0,98.90000153,0
Residence of rama swamy palya facing water scarcity,0.400000006,1.200000048,91.69999695,93.30000305,0
Stranded migrants from various states,0,1,0,8.899999619,100
5o Migrant workers from West Bengal,0,98.09999847,0.600000024,0.100000001,99.69999695
Alemari samudaya with food and ration,0,100,0,0,0
Elder people need urgent ration,0,100,0,99.90000153,0
Familiy without ration,0.100000001,100,0,2.400000095,0
"10 members need Ration , Daily Wage workers",0,99.80000305,7.199999809,0,36
10 people Need information on how to go back to bihar ,100,0,0.300000012,10.69999981,33.79999924
"10 person from Bihar are struck in Dharwad. They need Ration , Kindly deliver, they have no money and food to survive .
Thanks",0,100,2.099999905,2.700000048,0
14 Workers need ration,0,100,71.5,0,26.20000076
150 people Wants to go home from mangalore to Giridih Jarkhand,0,0,0,89.19999695,100
17 families are not having ration card not received any ration from anywhere. They need to be helped for the basic food and sanitaries,2,100,7.900000095,0,1.600000024
"25 people who are living in Venkateshwar Nagar, (Vaddargalli) not ration card and not benefiting from PDS. These people need to be helped provision kit",30.20000076,1.700000048,99.69999695,45.09999847,0
3 members Need ration and GAS ,0,0.699999988,1.299999952,100,0
"3 Migrants labourers from Bihar need ration 
",0,42.5,0.100000001,49,81.5
300 family in poor people please help them,31.29999924,98.40000153,0.5,1.600000024,0
300 Migrants labourers from Bihar need ration ,0,76.80000305,0,11.89999962,21.20000076
310 families need families,80.80000305,99.40000153,0,6.099999905,0
"32 family need ration, daily wage workers",0,100,26.70000076,0,13.30000019
6 members need ration (garment workers),0,21.10000038,99.90000153,0,32.40000153
"6 members need ration wage workers
Daily wage workers
 ",0,100,0.100000001,8.800000191,42.90000153
"Enquiry about travelling from Bangalore to Dakshina kannada.
 ",0,0,9.300000191,0,100
"Glycomety GP - 1 ( 2 strips)
Dolowin Plus (2 strips)",0,1.700000048,100,0.600000024,0
"I've got request for ration to be delivered for 70-75 labour class people in OPH road, shivaginagar. 
These people are from different states (UP, Bihar, Assam) 
Essentials were provided to them by their owners and now itâ€™s become hard for the owners also to provide further. 
Requesting you to revert at the earliest.",0,3,0.200000003,70.19999695,99.5
karmikarige 112 resan kit,0,0,100,0.100000001,0.100000001
Lakshmi Yadav and 7 migrant workers need ration urgently.,0,98.30000305,3.700000048,0,96.19999695
Need information on how to go back to bihar ,0.5,0,11.39999962,6.800000191,97.30000305
Need ration for 12 dialy wage workers,0,99.90000153,30.70000076,0,0
Need ration for 13 migrant laborers from Kolkata.,0,98.59999847,9.699999809,0.400000006,54.09999847
"Need ration for 3 members Daily wage workers
Recieved through phone by Manohar
",83.59999847,78.69999695,61.20000076,0,0.200000003
"Need ration for 5 members ,person working in garments ",0,98,100,0,1.200000048
Need Ration for 6 members Daily wage workers ,0,100,18.39999962,0.200000003,0.100000001
Need to go to Agra ,0,0.5,0,0.100000001,100
"Need to travel from Bangalore to Bihar 
 ",0,0,0,3.599999905,100
Panchanan and 9 migrant workers need ration and gas immediately.,0,96.19999695,8.5,89.19999695,73.5
Phagu Ram Mahato and 2 migrants need dry ration immediately,0,57.70000076,18.79999924,47.5,82.09999847
Pradip and 8 workers need dry ration and gas refill immediately. They are painters from North Indian states.,0,2.700000048,89.09999847,94.19999695,81.30000305
Prakash and 4 migrant workers need ration urgently.,0,99.40000153,0.5,0.100000001,99.40000153
"Ranjith and fifty workers from North Indian states need dry ration urgently. 
",0,79.90000153,99.30000305,0.300000012,35.59999847
Ration kits for slum,0,29,90,8.100000381,0.5
"Request for ration kits and packed food for underprivileged families in and around JC nagar. 
We have been active in this area and have been providing both ration and packed food to the needy and are running out of resources and funds to meet the list of people here. 

Please get in touch with us and help us deliver essential food and ration for the needy here. 
Thank you",0.200000003,100,0.100000001,0,0.200000003
"Request for ration kits to be provided in agalkote village, after magadi town. 
36 families all from labour class are expecting aid.
Transport will be provided by our volunteers if necessary. Please reach out to them at the earliest.",0,28.89999962,66,0,100
"Request Ration Kits for Daily Wage and Migrant labourers near Kannur Village Quarry, Near Nelamanagal, Sagarhalli and Mariampet-Muthakapalli Panchayat, in Srinivaspur, Kolar",0,64.19999695,47,25,63
Required ration for poor and needy for 30 plus families,46.90000153,100,0,17.39999962,0
Santosh Kumar and 4 migrants need ration urgently.,0,44.40000153,0.200000003,48.40000153,92.80000305
"Sir/Madam,My name is Lakshminarayana BN,I am requesting fr ration supply behalf of distress lady named sharadamma,aged 80yrs,she is almost blind,She's helpless,As of now I am taking care of her,Hence I request u to kindly help her by providing ration supplies,Thanking you,yours faithfully,,,",83.40000153,100,78.59999847,0.100000001,0
Sonaram Munda and 5 migrants need ration and gas refilling immediately,0,48.29999924,0.100000001,100,1.600000024
"Stuck in Bangalore. From WEst Bengal. No jobs. Shop owner left them without paying. Need ration, gas and house rent. Want to return back to West Bengal.",0,4.199999809,0,99.80000305,98.90000153
Sukhram Kumar and 15 migrant workers need ration urgently.,0,99.90000153,2.5,0,94.59999847
There are 17 families without the Ration Card and they are not able to access the Ration shop for the basic necessities. they need to be helped for food and sanitary ietems,8.800000191,98.30000305,99.69999695,0.100000001,0
"There are 45 families at the slum near Aland Naka, Kalaburagi. These people are requesting for the basic necessities.",28.20000076,100,0,10.69999981,36.79999924
"They are in need of ration and gas. 
The secondary contact name: Pravat Bardhan contact number is 7991098775",17.5,0,99,100,0
"They are in need of Ration and Gas. There are 5 peoples in group. The secondary contact person is Santosh Sethy, contact number : 7992993324.",34.40000153,0,100,99.80000305,0
"They are in need of Ration and Gas. They are 5 members living together in one room.
The secondary contact person name :Pravat Bardhan and the contact no: 7991098775",97.69999695,0,99.69999695,98.09999847,0
"They are in need of Ration. There are 16 peoples in group. The secondary contact person is Baskar Mahato, contact number : 6362301525",99.80000305,0,99.90000153,24,0
"They are in need of Ration. There are 20 peoples.
The secondary contact person name: Pankaj Kumar, contact no: 9611001767.",13,13.89999962,96,53.79999924,0
"They are in need of Ration. There are 5 peoples in group. The secondary contact person is Ranjeet Kumar Sharma, contact no. 6203404995.",99.90000153,0,100,0,0
They are in need of Ration. There are 7 peoples in group.,22,66.30000305,79.09999847,1,0
Thirteen families are not having ration card and they are struggling for food.,0,100,3,4.599999905,0
"We are around 5 migrant workers stranded in Kolar, we require help Iâ€™m going back to Tripura. We did not have groceries this till yesterday. We received relief today (2 May 2020) from localities. Kindly let us know how we can use the transport facility provided by the Government to go back home.",0,76,0.200000003,0,100
We have helping to alemari people and beggers senior citizens families issued vegetables fruits and water bottle needfully issued and then future help to single oldage families forest hills poorest people s,0,100,58.09999847,94.59999847,0.100000001
Women in need of medical assistance,1.399999976,0.100000001,100,0,0
Tribals from Tamil Nadu wants to travel back,0,0,0,95.90000153,100
To Provide Ration for people,2.5,99.90000153,0,96.69999695,0
Stranded migrants from various states,0,1,0,8.899999619,100
Stranded labourers without food or ration,0,100,0,0.100000001,0.300000012
Residence of rama swamy palya facing water scarcity,0.400000006,1.200000048,91.69999695,93.30000305,0
Require pass to travel from bangalore to Tirchy due to father's death,0,0.100000001,0,98.90000153,100
people without food and need assistance to travel,0,100,0,0.800000012,98.90000153
people stuck in bangalore,98.09999847,0,0,100,0
People need cooked food,0.300000012,100,0.200000003,64.69999695,0
People in need of medical assistance,9.699999809,0,100,0,0
Patient in request of urgent medicine,20.20000076,0,100,0,0
Need pass to travel from Assam to Karnataka due to daughters health condition,0,0,100,0,100
need food for 50 people,0,100,0,1.100000024,0
need dry ration,0,26.20000076,96.90000153,1.100000024,0.300000012
Migrant Family from Jharkhand need help,0,0,0,99.30000305,99.80000305
Migrant construction workers request for travel,0,0,15.80000019,0.100000001,100
Labourers without food who travelled to Chitradurga,0,99.90000153,0,0,96.19999695
Labourers (Jharkhand ) who worked for Gopalan group . Have not been paid since lockdown.,93.5,0,5.5,0.200000003,100
Familoes pressurized for rent,0,0.600000024,10,100,0
8 adults 2 child stuck without food,0.100000001,100,0,0,34.40000153
73 families surveyed by a volunteer - most dont have ration card.,0.100000001,28.89999962,98.40000153,100,0
"10 person from Bihar are struck in Dharwad. They need Ration , Kindly deliver, they have no money and food to survive .",0,100,8.600000381,1.700000048,0
17 families are not having ration card not received any ration from anywhere. They need to be helped for the basic food and sanitaries,2,100,7.900000095,0,1.600000024
"25 people who are living in Venkateshwar Nagar, (Vaddargalli) not ration card and not benefiting from PDS. These people need to be helped provision kit",30.20000076,1.700000048,99.69999695,45.09999847,0
"Request for ration kits to be provided in agalkote village, after magadi town. 
36 families all from labour class are expecting aid.
Transport will be provided by our volunteers if necessary. Please reach out to them at the earliest.",0,28.89999962,66,0,100
"Request Ration Kits for Daily Wage and Migrant labourers near Kannur Village Quarry, Near Nelamanagal, Sagarhalli and Mariampet-Muthakapalli Panchayat, in Srinivaspur, Kolar",0,64.19999695,47,25,63
Required ration for poor and needy for 30 plus families,46.90000153,100,0,17.39999962,0
"Settled population needing help with ration, money",18.39999962,99.90000153,0.200000003,0,0
There are 17 families without the Ration Card and they are not able to access the Ration shop for the basic necessities. they need to be helped for food and sanitary ietems,8.800000191,98.30000305,99.69999695,0.100000001,0
"There are 45 families at the slum near Aland Naka, Kalaburagi. These people are requesting for the basic necessities.",28.20000076,100,0,10.69999981,36.79999924
Thirteen families are not having ration card and they are struggling for food.,0,100,3,4.599999905,0
food need for construction workers from Raichur,0,99.90000153,71.09999847,0,2.5
Stranded migrants from various states,0,1,0,8.899999619,100
"There is a request for ration for above address. Since it is a Red zone, we are not able to reach.",100,4.800000191,95,0,0
